material,matno,energy_MeV,stopping_power_electronic_MeV_cm2_g,stopping_power_nuclear_MeV_cm2_g,stopping_power_total_MeV_cm2_g,csda_range_g_cm2,projected_range_g_cm2,detour_factor
water,276,0.001,133.7,43.15,176.9,6.319e-06,2.878e-06,0.4555
water,276,0.0015,163.8,34.6,198.4,8.969e-06,4.4e-06,0.4906
water,276,0.002,189.1,29.27,218.4,1.137e-05,5.909e-06,0.5197
water,276,0.0025,211.4,25.57,237.0,1.357e-05,7.38e-06,0.544
water,276,0.003,231.6,22.81,254.4,1.56e-05,8.811e-06,0.5647
water,276,0.004,267.5,18.94,286.4,1.93e-05,1.155e-05,0.5986
water,276,0.005,299.0,16.31,315.3,2.262e-05,1.415e-05,0.6254
water,276,0.006,327.6,14.39,342.0,2.567e-05,1.661e-05,0.6473
water,276,0.007,353.8,12.92,366.7,2.849e-05,1.896e-05,0.6656
water,276,0.008,378.2,11.75,390.0,3.113e-05,2.121e-05,0.6813
water,276,0.009,401.2,10.8,412.0,3.363e-05,2.337e-05,0.695
water,276,0.01,422.9,10.0,432.9,3.599e-05,2.545e-05,0.707
water,276,0.0125,466.0,8.485,474.5,4.15e-05,3.037e-05,0.7318
water,276,0.015,503.6,7.4,511.0,4.657e-05,3.499e-05,0.7514
water,276,0.0175,537.2,6.581,543.7,5.131e-05,3.938e-05,0.7674
water,276,0.02,567.3,5.939,573.3,5.578e-05,4.356e-05,0.7808
water,276,0.0225,594.6,5.421,600.1,6.005e-05,4.757e-05,0.7923
water,276,0.025,619.5,4.993,624.5,6.413e-05,5.144e-05,0.8022
water,276,0.0275,642.1,4.633,646.7,6.806e-05,5.519e-05,0.8109
water,276,0.03,662.8,4.325,667.1,7.187e-05,5.883e-05,0.8187
water,276,0.035,698.9,3.826,702.8,7.916e-05,6.585e-05,0.8319
water,276,0.04,729.0,3.437,732.4,8.613e-05,7.259e-05,0.8429
water,276,0.045,753.8,3.126,756.9,9.284e-05,7.911e-05,0.8522
water,276,0.05,774.0,2.87,776.8,9.935e-05,8.547e-05,0.8602
water,276,0.055,790.1,2.655,792.7,0.0001057,9.169e-05,0.8673
water,276,0.06,802.6,2.473,805.0,0.000112,9.782e-05,0.8735
water,276,0.065,811.9,2.316,814.2,0.0001182,0.0001039,0.8791
water,276,0.07,818.3,2.178,820.5,0.0001243,0.0001099,0.8842
water,276,0.075,822.3,2.058,824.3,0.0001303,0.0001159,0.8889
water,276,0.08,824.1,1.951,826.0,0.0001364,0.0001218,0.8931
water,276,0.085,823.9,1.855,825.8,0.0001425,0.0001278,0.8971
water,276,0.09,822.2,1.769,823.9,0.0001485,0.0001338,0.9007
water,276,0.095,819.0,1.691,820.6,0.0001546,0.0001398,0.9041
water,276,0.1,814.5,1.62,816.1,0.0001607,0.0001458,0.9073
water,276,0.125,780.1,1.343,781.4,0.000192,0.0001767,0.9207
water,276,0.15,736.0,1.152,737.1,0.0002249,0.0002094,0.931
water,276,0.175,695.9,1.01,696.9,0.0002598,0.000244,0.9393
water,276,0.2,660.4,0.9016,661.3,0.0002966,0.0002806,0.946
water,276,0.225,628.6,0.8152,629.4,0.0003354,0.0003191,0.9515
water,276,0.25,599.9,0.7447,600.6,0.0003761,0.0003596,0.9562
water,276,0.275,573.7,0.6855,574.4,0.0004186,0.0004019,0.9601
water,276,0.3,549.7,0.6351,550.4,0.0004631,0.0004462,0.9635
water,276,0.35,507.5,0.5545,508.0,0.0005577,0.0005404,0.9689
water,276,0.4,471.4,0.4928,471.9,0.0006599,0.0006422,0.9731
water,276,0.45,440.1,0.4439,440.6,0.0007697,0.0007515,0.9764
water,276,0.5,412.8,0.4043,413.2,0.0008869,0.0008683,0.979
water,276,0.55,388.8,0.3715,389.1,0.001012,0.0009926,0.9811
water,276,0.6,367.6,0.3438,368.0,0.001144,0.001124,0.9829
water,276,0.65,348.9,0.3201,349.2,0.001283,0.001263,0.9844
water,276,0.7,332.2,0.2996,332.5,0.00143,0.00141,0.9857
water,276,0.75,317.2,0.2817,317.5,0.001584,0.001563,0.9868
water,276,0.8,303.7,0.2658,303.9,0.001745,0.001724,0.9877
water,276,0.85,291.4,0.2516,291.7,0.001913,0.001891,0.9886
water,276,0.9,280.3,0.239,280.5,0.002088,0.002066,0.9893
water,276,0.95,270.0,0.2276,270.2,0.00227,0.002247,0.9899
water,276,1.0,260.6,0.2173,260.8,0.002458,0.002435,0.9905
water,276,1.25,222.8,0.1775,222.9,0.003499,0.003472,0.9925
water,276,1.5,195.5,0.1504,195.7,0.004698,0.004669,0.9938
water,276,1.75,174.8,0.1307,174.9,0.006052,0.00602,0.9946
water,276,2.0,158.5,0.1157,158.6,0.007555,0.007519,0.9952
water,276,2.25,145.3,0.1038,145.4,0.009203,0.009164,0.9957
water,276,2.5,134.3,0.09428,134.4,0.01099,0.01095,0.996
water,276,2.75,125.0,0.08637,125.1,0.01292,0.01288,0.9963
water,276,3.0,117.1,0.07972,117.2,0.01499,0.01494,0.9965
water,276,3.5,104.1,0.06916,104.2,0.01952,0.01946,0.9968
water,276,4.0,93.98,0.06113,94.04,0.02458,0.02451,0.9971
water,276,4.5,85.8,0.05481,85.86,0.03015,0.03007,0.9973
water,276,5.0,79.06,0.0497,79.11,0.03623,0.03613,0.9974
water,276,5.5,73.39,0.04549,73.43,0.04279,0.04268,0.9975
water,276,6.0,68.54,0.04195,68.58,0.04984,0.04972,0.9976
water,276,6.5,64.34,0.03894,64.38,0.05737,0.05724,0.9977
water,276,7.0,60.68,0.03634,60.71,0.06537,0.06522,0.9977
water,276,7.5,57.44,0.03407,57.47,0.07384,0.07368,0.9978
water,276,8.0,54.56,0.03208,54.6,0.08277,0.08259,0.9978
water,276,8.5,51.99,0.03031,52.02,0.09215,0.09196,0.9979
water,276,9.0,49.66,0.02873,49.69,0.102,0.1018,0.9979
water,276,9.5,47.56,0.02731,47.59,0.1123,0.112,0.9979
water,276,10.0,45.64,0.02603,45.67,0.123,0.1228,0.998
water,276,12.5,38.13,0.02111,38.15,0.1832,0.1828,0.9981
water,276,15.0,32.9,0.01778,32.92,0.2539,0.2535,0.9982
water,276,17.5,29.04,0.01538,29.05,0.335,0.3344,0.9982
water,276,20.0,26.05,0.01356,26.07,0.426,0.4252,0.9983
water,276,25.0,21.74,0.01098,21.75,0.637,0.6359,0.9983
water,276,27.5,20.12,0.01003,20.13,0.7566,0.7553,0.9984
water,276,30.0,18.75,0.009239,18.76,0.8853,0.8839,0.9984
water,276,35.0,16.56,0.007983,16.56,1.17,1.168,0.9984
water,276,40.0,14.87,0.007034,14.88,1.489,1.486,0.9985
water,276,45.0,13.53,0.00629,13.54,1.841,1.839,0.9985
water,276,50.0,12.44,0.005691,12.45,2.227,2.224,0.9985
water,276,55.0,11.54,0.005199,11.54,2.644,2.641,0.9985
water,276,60.0,10.78,0.004786,10.78,3.093,3.089,0.9986
water,276,65.0,10.12,0.004435,10.13,3.572,3.567,0.9986
water,276,70.0,9.555,0.004134,9.559,4.08,4.075,0.9986
water,276,75.0,9.059,0.003871,9.063,4.618,4.611,0.9986
water,276,80.0,8.622,0.003641,8.625,5.184,5.176,0.9986
water,276,85.0,8.233,0.003437,8.236,5.777,5.769,0.9986
water,276,90.0,7.884,0.003255,7.888,6.398,6.389,0.9986
water,276,95.0,7.57,0.003092,7.573,7.045,7.035,0.9986
water,276,100.0,7.286,0.002944,7.289,7.718,7.707,0.9987
water,276,125.0,6.19,0.002381,6.192,11.46,11.44,0.9987
water,276,150.0,5.443,0.002001,5.445,15.77,15.76,0.9987
water,276,175.0,4.901,0.001728,4.903,20.62,20.6,0.9988
water,276,200.0,4.491,0.001522,4.492,25.96,25.93,0.9988
water,276,225.0,4.169,0.001361,4.17,31.74,31.71,0.9988
water,276,250.0,3.91,0.001231,3.911,37.94,37.9,0.9989
water,276,275.0,3.697,0.001124,3.698,44.52,44.47,0.9989
water,276,300.0,3.519,0.001035,3.52,51.45,51.39,0.9989
water,276,350.0,3.24,0.0008936,3.241,66.28,66.21,0.9989
water,276,400.0,3.031,0.000787,3.032,82.25,82.17,0.999
water,276,450.0,2.87,0.0007037,2.871,99.21,99.12,0.999
water,276,500.0,2.743,0.0006367,2.743,117.0,116.9,0.999
water,276,550.0,2.64,0.0005816,2.64,135.6,135.5,0.9991
water,276,600.0,2.555,0.0005355,2.556,154.9,154.7,0.9991
water,276,650.0,2.485,0.0004963,2.485,174.7,174.6,0.9991
water,276,700.0,2.426,0.0004626,2.426,195.1,194.9,0.9991
water,276,750.0,2.375,0.0004333,2.376,215.9,215.8,0.9991
water,276,800.0,2.333,0.0004076,2.333,237.2,237.0,0.9992
water,276,850.0,2.296,0.0003849,2.296,258.8,258.6,0.9992
water,276,900.0,2.264,0.0003646,2.264,280.7,280.5,0.9992
water,276,950.0,2.236,0.0003464,2.236,302.9,302.7,0.9992
water,276,1000.0,2.211,0.00033,2.211,325.4,325.2,0.9992
water,276,1500.0,2.07,0.0002249,2.07,560.5,560.1,0.9993
water,276,2000.0,2.021,0.0001715,2.021,805.4,804.9,0.9994
water,276,2500.0,2.004,0.000139,2.004,1054.0,1053.0,0.9995
water,276,3000.0,2.001,0.0001171,2.001,1304.0,1303.0,0.9995
water,276,4000.0,2.012,8.939e-05,2.012,1802.0,1802.0,0.9996
water,276,5000.0,2.031,7.251e-05,2.031,2297.0,2296.0,0.9996
water,276,6000.0,2.052,6.112e-05,2.052,2787.0,2786.0,0.9997
water,276,7000.0,2.072,5.291e-05,2.072,3272.0,3271.0,0.9997
water,276,8000.0,2.091,4.669e-05,2.091,3752.0,3751.0,0.9997
water,276,9000.0,2.109,4.181e-05,2.109,4228.0,4227.0,0.9997
water,276,10000.0,2.126,3.788e-05,2.126,4700.0,4699.0,0.9998
aluminum,13,0.001,92.38,11.97,104.3,1.471e-05,3.758e-06,0.2555
aluminum,13,0.0015,113.1,10.72,123.9,1.906e-05,5.59e-06,0.2933
aluminum,13,0.002,130.6,9.749,140.4,2.285e-05,7.413e-06,0.3245
aluminum,13,0.0025,146.1,8.967,155.0,2.623e-05,9.205e-06,0.3509
aluminum,13,0.003,160.0,8.324,168.3,2.933e-05,1.096e-05,0.3738
aluminum,13,0.004,184.8,7.322,192.1,3.487e-05,1.438e-05,0.4122
aluminum,13,0.005,206.6,6.571,213.1,3.981e-05,1.765e-05,0.4434
aluminum,13,0.006,226.3,5.982,232.3,4.43e-05,2.08e-05,0.4696
aluminum,13,0.007,244.4,5.505,249.9,4.845e-05,2.384e-05,0.4921
aluminum,13,0.008,261.3,5.11,266.4,5.232e-05,2.677e-05,0.5117
aluminum,13,0.009,277.1,4.775,281.9,5.597e-05,2.961e-05,0.5291
aluminum,13,0.01,292.1,4.488,296.6,5.943e-05,3.236e-05,0.5445
aluminum,13,0.0125,320.6,3.917,324.5,6.746e-05,3.895e-05,0.5773
aluminum,13,0.015,344.8,3.491,348.3,7.489e-05,4.523e-05,0.604
aluminum,13,0.0175,365.7,3.157,368.9,8.186e-05,5.127e-05,0.6263
aluminum,13,0.02,383.8,2.889,386.7,8.848e-05,5.711e-05,0.6454
aluminum,13,0.0225,399.6,2.667,402.2,9.481e-05,6.277e-05,0.662
aluminum,13,0.025,413.2,2.48,415.7,0.0001009,6.829e-05,0.6767
aluminum,13,0.0275,425.0,2.321,427.3,0.0001069,7.37e-05,0.6898
aluminum,13,0.03,435.1,2.183,437.3,0.0001126,7.902e-05,0.7015
aluminum,13,0.035,451.0,1.955,452.9,0.0001239,8.943e-05,0.722
aluminum,13,0.04,462.0,1.774,463.8,0.0001348,9.964e-05,0.7394
aluminum,13,0.045,469.2,1.627,470.9,0.0001455,0.0001097,0.7544
aluminum,13,0.05,473.4,1.504,474.9,0.000156,0.0001198,0.7676
aluminum,13,0.055,475.2,1.401,476.6,0.0001665,0.0001298,0.7793
aluminum,13,0.06,475.1,1.311,476.4,0.000177,0.0001398,0.7898
aluminum,13,0.065,473.7,1.234,474.9,0.0001875,0.0001499,0.7994
aluminum,13,0.07,471.2,1.166,472.4,0.0001981,0.0001601,0.8081
aluminum,13,0.075,468.0,1.106,469.1,0.0002087,0.0001703,0.8161
aluminum,13,0.08,464.2,1.052,465.3,0.0002194,0.0001807,0.8234
aluminum,13,0.085,460.1,1.003,461.1,0.0002302,0.0001911,0.8302
aluminum,13,0.09,455.8,0.9597,456.7,0.0002411,0.0002017,0.8366
aluminum,13,0.095,451.3,0.92,452.2,0.0002521,0.0002124,0.8425
aluminum,13,0.1,446.8,0.8837,447.7,0.0002632,0.0002232,0.848
aluminum,13,0.125,424.5,0.7406,425.3,0.0003205,0.0002791,0.8708
aluminum,13,0.15,404.5,0.64,405.1,0.0003808,0.0003381,0.888
aluminum,13,0.175,386.7,0.5651,387.3,0.0004439,0.0004001,0.9013
aluminum,13,0.2,371.0,0.507,371.5,0.0005098,0.0004649,0.9119
aluminum,13,0.225,356.8,0.4604,357.3,0.0005785,0.0005325,0.9205
aluminum,13,0.25,344.0,0.4222,344.4,0.0006498,0.0006028,0.9277
aluminum,13,0.275,332.3,0.3903,332.7,0.0007236,0.0006757,0.9337
aluminum,13,0.3,321.5,0.3632,321.8,0.0008001,0.0007511,0.9389
aluminum,13,0.35,301.7,0.3195,302.0,0.0009605,0.0009097,0.9471
aluminum,13,0.4,284.2,0.2858,284.4,0.001131,0.001079,0.9535
aluminum,13,0.45,268.6,0.2589,268.9,0.001312,0.001258,0.9585
aluminum,13,0.5,254.8,0.2369,255.0,0.001503,0.001447,0.9626
aluminum,13,0.55,242.5,0.2185,242.7,0.001704,0.001646,0.9659
aluminum,13,0.6,231.4,0.203,231.6,0.001915,0.001855,0.9687
aluminum,13,0.65,221.5,0.1897,221.6,0.002136,0.002074,0.9711
aluminum,13,0.7,212.4,0.1781,212.6,0.002366,0.002303,0.9731
aluminum,13,0.75,204.2,0.1679,204.3,0.002606,0.002541,0.9749
aluminum,13,0.8,196.6,0.1589,196.8,0.002856,0.002788,0.9764
aluminum,13,0.85,189.7,0.1509,189.9,0.003114,0.003045,0.9778
aluminum,13,0.9,183.3,0.1436,183.5,0.003382,0.003311,0.979
aluminum,13,0.95,177.4,0.1371,177.5,0.003659,0.003586,0.98
aluminum,13,1.0,171.9,0.1312,172.0,0.003945,0.00387,0.981
aluminum,13,1.25,149.4,0.1082,149.5,0.005509,0.005424,0.9845
aluminum,13,1.5,132.7,0.09232,132.8,0.007287,0.007191,0.9868
aluminum,13,1.75,119.8,0.08066,119.9,0.009272,0.009164,0.9884
aluminum,13,2.0,109.4,0.07173,109.5,0.01146,0.01134,0.9895
aluminum,13,2.25,100.9,0.06466,101.0,0.01384,0.0137,0.9904
aluminum,13,2.5,93.77,0.05891,93.83,0.01641,0.01626,0.9911
aluminum,13,2.75,87.69,0.05414,87.75,0.01916,0.019,0.9916
aluminum,13,3.0,82.45,0.05011,82.5,0.0221,0.02193,0.9921
aluminum,13,3.5,73.83,0.04369,73.88,0.02852,0.02832,0.9928
aluminum,13,4.0,67.03,0.03877,67.07,0.03563,0.0354,0.9933
aluminum,13,4.5,61.51,0.03489,61.54,0.04343,0.04315,0.9937
aluminum,13,5.0,56.91,0.03174,56.95,0.05188,0.05157,0.994
aluminum,13,5.5,53.03,0.02913,53.06,0.06098,0.06063,0.9942
aluminum,13,6.0,49.7,0.02693,49.73,0.07072,0.07033,0.9944
aluminum,13,6.5,46.81,0.02505,46.84,0.08109,0.08065,0.9946
aluminum,13,7.0,44.28,0.02342,44.3,0.09207,0.09158,0.9948
aluminum,13,7.5,42.03,0.022,42.05,0.1037,0.1031,0.9949
aluminum,13,8.0,40.02,0.02075,40.04,0.1158,0.1153,0.995
aluminum,13,8.5,38.22,0.01963,38.24,0.1286,0.128,0.9951
aluminum,13,9.0,36.58,0.01864,36.6,0.142,0.1413,0.9952
aluminum,13,9.5,35.1,0.01774,35.12,0.1559,0.1552,0.9953
aluminum,13,10.0,33.75,0.01693,33.76,0.1705,0.1697,0.9953
aluminum,13,12.5,28.41,0.0138,28.42,0.2515,0.2504,0.9956
aluminum,13,15.0,24.65,0.01166,24.66,0.3462,0.3448,0.9958
aluminum,13,17.5,21.85,0.01012,21.86,0.4541,0.4523,0.996
aluminum,13,20.0,19.68,0.00894,19.69,0.5748,0.5726,0.9961
aluminum,13,25.0,16.51,0.007266,16.52,0.8533,0.8501,0.9963
aluminum,13,27.5,15.32,0.006649,15.32,1.011,1.007,0.9963
aluminum,13,30.0,14.3,0.00613,14.31,1.18,1.175,0.9964
aluminum,13,35.0,12.67,0.005308,12.68,1.552,1.546,0.9965
aluminum,13,40.0,11.41,0.004684,11.42,1.968,1.961,0.9966
aluminum,13,45.0,10.41,0.004194,10.41,2.427,2.419,0.9966
aluminum,13,50.0,9.59,0.003798,9.594,2.928,2.918,0.9967
aluminum,13,55.0,8.908,0.003473,8.911,3.469,3.458,0.9968
aluminum,13,60.0,8.33,0.0032,8.334,4.05,4.037,0.9968
aluminum,13,65.0,7.835,0.002967,7.838,4.669,4.654,0.9968
aluminum,13,70.0,7.405,0.002767,7.408,5.325,5.309,0.9969
aluminum,13,75.0,7.029,0.002593,7.031,6.018,6.0,0.9969
aluminum,13,80.0,6.696,0.002439,6.698,6.747,6.727,0.997
aluminum,13,85.0,6.399,0.002304,6.401,7.511,7.488,0.997
aluminum,13,90.0,6.133,0.002182,6.135,8.309,8.284,0.997
aluminum,13,95.0,5.893,0.002074,5.895,9.141,9.114,0.997
aluminum,13,100.0,5.676,0.001976,5.678,10.01,9.976,0.9971
aluminum,13,125.0,4.835,0.0016,4.837,14.8,14.76,0.9972
aluminum,13,150.0,4.261,0.001346,4.262,20.32,20.26,0.9973
aluminum,13,175.0,3.843,0.001163,3.844,26.51,26.44,0.9973
aluminum,13,200.0,3.525,0.001025,3.526,33.31,33.22,0.9974
aluminum,13,225.0,3.276,0.0009164,3.277,40.67,40.57,0.9975
aluminum,13,250.0,3.075,0.0008293,3.076,48.55,48.43,0.9975
aluminum,13,275.0,2.91,0.0007576,2.911,56.91,56.78,0.9976
aluminum,13,300.0,2.772,0.0006976,2.773,65.72,65.56,0.9976
aluminum,13,350.0,2.555,0.0006027,2.555,84.54,84.34,0.9977
aluminum,13,400.0,2.392,0.0005311,2.393,104.8,104.6,0.9978
aluminum,13,450.0,2.266,0.000475,2.267,126.3,126.0,0.9979
aluminum,13,500.0,2.166,0.0004299,2.167,148.9,148.5,0.9979
aluminum,13,550.0,2.086,0.0003928,2.086,172.4,172.0,0.998
aluminum,13,600.0,2.019,0.0003617,2.02,196.8,196.4,0.998
aluminum,13,650.0,1.964,0.0003353,1.965,221.9,221.4,0.9981
aluminum,13,700.0,1.918,0.0003126,1.918,247.6,247.2,0.9981
aluminum,13,750.0,1.878,0.0002929,1.879,274.0,273.5,0.9982
aluminum,13,800.0,1.845,0.0002755,1.845,300.8,300.3,0.9982
aluminum,13,850.0,1.816,0.0002602,1.816,328.2,327.6,0.9982
aluminum,13,900.0,1.79,0.0002465,1.791,355.9,355.3,0.9983
aluminum,13,950.0,1.768,0.0002342,1.769,384.0,383.3,0.9983
aluminum,13,1000.0,1.749,0.0002232,1.75,412.4,411.7,0.9983
aluminum,13,1500.0,1.647,0.0001523,1.647,708.7,707.7,0.9986
aluminum,13,2000.0,1.617,0.0001162,1.618,1016.0,1014.0,0.9987
aluminum,13,2500.0,1.613,9.419e-05,1.613,1325.0,1324.0,0.9989
aluminum,13,3000.0,1.619,7.938e-05,1.619,1635.0,1633.0,0.999
aluminum,13,4000.0,1.642,6.062e-05,1.642,2248.0,2246.0,0.9991
